"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 19:09:02 GMT 2023","Wed Apr 12 19:09:07 GMT 2023","5531","Vizsgaremek.test","test_conduit","TestConduit","","","Több oldalas lista bejárása -Létrehozott oldalak végigjárása-",""
"broken","Wed Apr 12 19:08:41 GMT 2023","Wed Apr 12 19:08:46 GMT 2023","5501","Vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat módosítása -Korábbi poszt módosítása-",""
"broken","Wed Apr 12 19:09:16 GMT 2023","Wed Apr 12 19:09:21 GMT 2023","5499","Vizsgaremek.test","test_conduit","TestConduit","","","Adatok listázása -TestUser posztjaira szűrve nem jelenik meg másik felhasználó cikke-",""
"broken","Wed Apr 12 19:09:09 GMT 2023","Wed Apr 12 19:09:14 GMT 2023","5469","Vizsgaremek.test","test_conduit","TestConduit","","","Adatok lementése felületről -TestUser által létrehozott címek txt-be mentve-",""
"broken","Wed Apr 12 19:08:48 GMT 2023","Wed Apr 12 19:08:53 GMT 2023","5493","Vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat törlése -Korábbi poszt törlése-",""
"broken","Wed Apr 12 19:08:27 GMT 2023","Wed Apr 12 19:08:32 GMT 2023","5511","Vizsgaremek.test","test_conduit","TestConduit","","","A bejelentkezési felület használata, korábban regisztrált felhasználóval",""
"broken","Wed Apr 12 19:09:23 GMT 2023","Wed Apr 12 19:09:28 GMT 2023","5484","Vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés -TestUser kilép-",""
"passed","Wed Apr 12 19:08:22 GMT 2023","Wed Apr 12 19:08:25 GMT 2023","3191","Vizsgaremek.test","test_conduit","TestConduit","","","Regisztrációs felület használata",""
"broken","Wed Apr 12 19:08:55 GMT 2023","Wed Apr 12 19:09:00 GMT 2023","5510","Vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból -Új posztok létrehozása-",""
"broken","Wed Apr 12 19:08:15 GMT 2023","Wed Apr 12 19:08:20 GMT 2023","5144","Vizsgaremek.test","test_conduit","TestConduit","","","Az adatkezelési nyilatkozat használata -A tájékoztatás elutasítása-",""
"broken","Wed Apr 12 19:08:34 GMT 2023","Wed Apr 12 19:08:39 GMT 2023","5515","Vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitele -Új poszt készítése-",""
